,Date,Company,Title,Location,Description,Level,Link
0,6 months ago ,Qualitest ,#6090 - Python Software Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","Minimum qualifications:BSc in Computer Science, Software Engineering, Electrical Engineering or similar At least 2 years of experience as SW engineer2+ years of experience in Python Good verbal/written communication skills in english Team playerExperience in C++ is a big advantage Experience in SQL- an advantage Experience with full stack development - an advantage  Experience in Computer Vision - an advantage BenefitsWhy Qualitest?Be a part of a leading Engineering company, globally recognized as a Visionary by Gartner Magic Quadrant Have continuous access to and work with Senior Quality Engineers and Experts Work with cutting-edge technology in a company built by Quality Engineers for Quality Engineers. This is what we do! Access to Learning & Development opportunities for building a strong and lasting career A supportive and inclusive work environment with truly good people As a global company, we offer unique placement opportunities around the world Our Qualitesters are the reason for our success. We constantly encourage career development and promote from within Intrigued to find out more about us?Visit our website at https://qualitestgroup.com/ Check out our Career page: https://qualitestgroup.com/careers/open-positions/ Check out our Career page: https://qualitestgroup.com/careers/open-positions//
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2zfw3s4e"", ""https://tinyurl.com/2zfw3s4e"")"
1,1 month ago ,PandoLogic ,Full Stack Engineer," Herzliya, Tel Aviv District, Israel","WE ARE PANDOLOGICPandoLogic delivers Hire Intelligence to Talent Acquisition organizations by sourcing quality applicants faster and more efficiently through the use of big data, artificial intelligence, and proprietary campaign algorithms that fully-automate and optimize the job advertising and decision-making process.Disclaimer:PandoLogic has been acquired by Veritone Inc. (NASDAQ: VERI), a provider of an operating system for artificial intelligence.We were sought out by Veritone for our AI – our belief in it and our commitment to it – by a company that is focused on using AI for good. To build a safer, more vibrant, transparent, and empowered society.Veritone is supporting our destiny, keeping our team intact, and honoring our roadmap – this is an incredible growth opportunity.As a wholly-owned subsidiary of Veritone, there are no material changes expected for employees and customers.Integration with their platform will reinforce our tech backbone and allow us to bring trillions of data points – from all sorts of agnostic sources – together to create insights that will power the workforce of the future.We are looking for an experienced Full-Stack Developer to join our R&D department.What You'll DoYou will be involved in building a complete software project, from brainstorming decisions to implementing the design and code, including front-end, back-end, testing and infrastructure in the cloud.What You'll Need4+ yrs. hands-on experience developing rich & large-scale web applications architecture  4+ yrs. of proficiency & experience in .Net frameworks, .NET CORE coding in C# 2+ yrs. hands-on experience in ReactJS - MUST, Vanilla JavaScript, HTML, CSS, responsive UI & Cross Browsers 1+ yrs. hands-on experience in micro services architecture Knowledge & experience in programming practice (OOP, Design Patterns) Experience with RESTful APIs, WCF Experience working with databases (Relational and NoSQL) MSSQL, Elastic search Experience with Development tools VS 17/19, VS Code, AzureDevOps, GIT Knowledge in Unit/ E2E testing methodologies & frameworks Knowledge in AWS API Gateway & Lambda functionsOUR CULTURELoves learning & continuous growth; stays current on marketing trendsCan juggle multiple projects, priorities, and deadlines with a positive attitudeComfortable in a fast-paced, small company environmentCollaborative and always contributing valueDriven to win as a teamTo learn more visit http://www.pandologic.com When you join us, you'll become an important member of a well established, global company. Professionally, you'll help us disrupt the recruitment advertising market and work on the most advanced technologies with experienced team members and from day one you'll be challenged to take risks while getting mentorship and support from the team. From day one, you'll be challenged to take risks while getting mentorship and support from the team.We bet you'll love our awesome company culture, great benefits, and crew of collaborative, bold, resilient, innovative, and caring people. We love it here, and we think you will too.If you've made it this far and align with our goals, we look forward to reviewing your qualifications!DISCLOSUREOur company provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.We are flexible. We are kind. We are PandoLogic.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2jdrn3zb"", ""https://tinyurl.com/2jdrn3zb"")"
2,1 month ago ,Sisense ,Software Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","Sisense's mission is to infuse analytics everywhere. We bring ""power to the builders"" by enabling our customers to answer complex questions with data and drive the best business outcomes possible.WHY YOU SHOULD JOIN OUR TEAM:At Sisense's Engineering group, we have a development culture that is transparent, highly technical, and agile. We love innovation; we always seek to delight customers with better solutions. Turning complexity into simplicity is our goal.We are looking for a Software Engineer to join our awesome Engineering group. This role will work with new initiatives and exciting projects while collaborating with our amazing people.WHAT YOU'VE ACCOMPLISHED… SO FAR:Experience with a complex native cloud web application, using micro services architecture. You have experience with complex product development initiatives from concept to releaseYou have experience working as a Developer, and now you have deep knowledge of Javascript or TypescriptYou have built full-stack systems using NodeJS and frontend. You have experience with databases, especially NoSQL, such as MongoDB or similarYou have experience with products like AWS(SDK)/ K8S /Docker/ RabbitMQYou have B.Sc in Computer Science or equivalent scientific degreeYou are proficient in English, verbal and writtenYou are a great team playerHOW YOU'LL RAMP:By Day 30...You'll partner with your team leader, and many other people who will help onboard you with our product, technical processes, and build/deploy processes. You'll be able to ship your first lines of code to the product. You will learn about the Sisense product. By Day 60...You will be working with product stabilization and making substantial improvements to existing features, platform services, internal tools, or build processes. You will collaborate with Product Management to implement their requirements within our software. You'll be able to map the major components of Sisense Architecture and understand which components take part in basic user flows. By Day 90...You will have a better understanding of Sisense's technical aspects and be able to provide production levels deliverable. You will be able to lead features from the discovery process through high-level design definition to implementations and quality assurance. You will be able to contribute to the technical decisions regarding your team's functionality and improve the product architecture and performance. About UsWe are a radically innovative BI company focused on redefining every aspect of business analytics. We're an industry leader with more than 2,000 global customers, including Expedia, Flexport, Nasdaq, GE, Philips, & Tinder.We've been recognized as a leading visionary in Gartner's Magic Quadrant for Analytics and Business Intelligence. We're on-boarding rapidly! We have over 750 employees with offices in Kyiv, San Francisco, New York, Tel Aviv, Scottsdale, Melbourne, Tokyo, and London.We believe strongly in a data-driven approach to all that we do. We're constantly measuring and optimizing everything about the business. We've been recognized by Comparably, Glassdoor, and Best Places to Work for our amazing company culture.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2zqtszyq"", ""https://tinyurl.com/2zqtszyq"")"
3,3 months ago ,DoorLoop ,Full Stack Engineer," Tel Aviv District, Israel","*** IMPORTANT*** Please do not apply with LinkedIn. Apply from here instead:https://www.doorloop.com/career/senior-full-stack-react-js-developer-israelCertified as a Great Place to Work®, DoorLoop is the easiest property management software used by landlords and property managers in over 100 countries worldwide.As a SaaS company with $30M in funding, 3 offices worldwide (Miami, London, Israel), and hundreds of thousands of units being managed, we are one of the fastest growing prop-tech companies with over 400% growth this year!We know what it takes to build a world-class company – and it all starts with a world-class team. If you want to work with a fast growing tech startup that values transparency, feedback, and growth, DoorLoop is for you.The RoleWe are looking for a super talented Senior React Full Stack JavaScript developer to join our team in our office in Tel-Aviv, Israel. Hybrid work is also offered. We have a very exciting roadmap of features planned, and are looking for someone who thrives in an innovative, fast-paced environment where their voice is heard when building new features or using new components.The pay is based on your experience and level of expertise. We are paying top of market rates plus benefits.You will:Help build new features into the existing product, and optimize existing pages.Help discover, diagnose, and fix any bugs or issues.Work with the design team to ensure everything matches our brand, is responsive, and works perfectly.Respond and troubleshoot any downtime events and create systems and procedures to prevent them from happening.Build automated QA tests to run before deploying to production.Brainstorm new ideas to enhance the software in any way.Help lead projects, build our dev team, and mentor junior developers.About YouPeople that do best in this role have these personality traits and work habits:Organized and focusedCoachable and trainable, open to learning and listening from your peers and those around youWilling to adapt and learn as the company grows and the technology changesQualifications5+ years of development experience2+ years working with advanced React JS platformsExpert in working with scrum, keeping track of your sprints in Jira, and completing everything on timeBonus PointsExperience building dev teams and leading and managing projects from scratch.Worked for a SaaS startup before where you learned to be agile and move fast.Built your own application from scratch (or did the majority of the work) and can show a working concept, or anything in production.Bonus if you have 2+ years of experience working with node JS, mongo DB, TypeScript, or the MERN stack.Israel BenefitsUnlimited paid time off with unlimited personal, vacation, and sick days.Annual bonus based on your performance over the last 12 months.Free daily lunch and a micro kitchen with unlimited healthy snacks in our office prepared by Cibus.Annual company retreat in the US with our Miami team (all expenses paid).Work from our Miami or Israel office as much as you want, or work a few days from home on a hybrid schedule.Complimentary training in our Miami office for up to one month.Career development with unlimited access to Udemy's courses and other growth opportunities.‍World-class training program where you're paired with an onboarding buddy to ensure your success.Monthly investment classes from our co-founders on how to invest your money in a diversified portfolio of real estate, stocks, crypto, NFT, & more.Work in Tel Aviv, the most vibrant city worldwide with great restaurants, activities, and walking distance from the beach.No micromanagement - We believe responsible people thrive on freedom.Great equipment - Ergonomic chairs, Mac or PC laptops, dual monitors, and more.No rules - No dress code, policies, or handbooks. Just do great work & have fun!Additional InformationWe offer tons of opportunities to train, mentor, and help others if that's what gets you fired up!We promise we won't waste your time in long, boring, and unnecessary meetings. There are no politics here, no long approval processes, and no micromanagement.If you're looking to work with a small team where you can make an impact and see your code deployed to thousands of customers every month, then DoorLoop is for you.You will be working directly with two of our co-founders (our CEO Ori Tamuz and CTO Itay Gardi) so if you want to get something done, let's make it happen!You can learn more about us from our careers page. We look forward to hearing from you soon!*** IMPORTANT*** Please do not apply with LinkedIn. Apply from here instead:https://www.doorloop.com/career/senior-full-stack-react-js-developer-israel
Show more
Show less",Full-time,"=HYPERLINK(""https://tinyurl.com/2k8uarg3"", ""https://tinyurl.com/2k8uarg3"")"
4,1 month ago ,ONE Digital ,Angular Developer 5+ Years," Petah Tikva, Center District, Israel","One Digital is a software development company working on a range of projects from cyber security to medical devices using the best software stacks around. If you like building great products, working on projects from scratch, you don't mind switching context almost daily and like to work in a fast paced environment then Spectory is the ideal work place for you.We're looking for full-stack developers to join our team, we're not too picky about specific stack experience, we value great programming and interpersonal skills above mileage with a specific stack. If you're independent, enthusiastic, likes learning new things and creating things, we'd like to meet you!We offer competitive compensation and technical challenge.ResponsibilitiesAs a software engineer you will work on a big project critical for our customers' needs. You'll be able to use lots of new technologies and bring value to innovative products. Develop new features with Angular, nd NodeJs using best practices, considering security and performance.Required Skills5+ years experience as a Angular DeveloperStrong .Net and SQL skillsExperience with a frontend framework such as AngularExperience with Java script and Type script is a big Advantage.Hands-on experience in implementing pixel-perfect designs over HTML/CSSExperience with distributed version control systems (Git, etc.)Upper-Intermediate English skillsExperience with Node.JSExperience with AWSGood interpersonal skillsTeam Player.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2ez9lgbp"", ""https://tinyurl.com/2ez9lgbp"")"
5,2 months ago ,abra Strategy Realization ,Full Stack Developer," Petah Tikva, Center District, Israel","חברת abra מגייסת Full Stack Developer לפעילות BI& Developmentאנחנו מחפשים מפתח full stack למחלקת הפיתוח, הצוות אחראי על הקמה, פיתוח ותחזוקה של מערכות, מנגנונים וממשקים לטובת תמיכה בשינויים רגולטוריים. העבודה הינה מול מגוון רחב של צוותים בארגון: מנתחי מערכות, צוותי פיתוח אחרים, סיסטם, DBA, בקרת איכות ועוד.מי יתאים לנו ?ניסיון של 3 שנות ניסיון בתכנותניסיון בפיתוח Server side ב C#ניסיון בפיתוח Client side ב jQuery, Angular, HTML5, JavaScript, CSSניסיון ב- NET CORE.ניסיון בפיתוח Web APIניסיון בעבודה עם בסיסי נתונים בעדיפות ל SQL Server
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2foo5p9c"", ""https://tinyurl.com/2foo5p9c"")"
6,1 week ago ,Optimove ,Fullstack Developer," Tel Aviv-Yafo, Tel Aviv District, Israel",":Sc. in computer science or equivalentAt least 4 years of experience in full-stack developmentClient -Angular frameworkServer -.NET Framework, C#, and .net CoreExperience with MS SQL / PostgreSQL serverExperience with Docker , Kubernetes and microservicesExperience with PubSubExperience with RESTful Web APIDeep understanding of OOP principles and designAdvantage:Experience with GCPExperience with Azure pipelinesPython knowledgeExperience with Auth0Experience with Snowflake
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2krpq8qe"", ""https://tinyurl.com/2krpq8qe"")"
7,1 month ago ,ONE Digital ,Full Stack - React Native/Node.js Developer," Netanya, Center District, Israel","One Digital is a software development company working on a range of projects from cyber security to medical devices using the best software stacks around. If you like building great products, working on projects from scratch, you don't mind switching context almost daily and like to work in a fast-paced environment then Spectory is the ideal work place for you.We're looking for a strong Experienced React/Django Full Stack DeveloperIf you're independent, enthusiastic, likes learning new things and creating things, we'd like to meet you!We offer competitive compensation and technical challenge.Responsibilities and background required:The Full Stack Developer will join developing team and build a multi-interface mobile/web application.As a Full Stack developer, you will work on a big project critical for our customers' needs. You'll be able to use lots of new technologies and bring value to innovative products. Develop new features with Node.js, Django, and React Navie using best practices, considering security and performance.Required SkillsAt least 2+ years of experience in Full Stack Development Node.js/React Native – MustExperience with Django - Big AdvantageExperience working with GraphQL. Experience working with relational database, such as PostgreSQL/ Sql Server. Experience in Cloud environment : Azure / Heroku. Team Player. Fast Learner.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2fuo7mb5"", ""https://tinyurl.com/2fuo7mb5"")"
8,1 month ago ,Axonius ,"Full Stack Developer, Platform Team"," Tel Aviv-Yafo, Tel Aviv District, Israel",":A minimum of 4 years of experience as a full-stack developerExtensive professional experience with advanced JavaScript, CSS, and at least one modern UI framework (React, Vue.JS, Angular)Extensive professional experience with at least one high-level backend language (Python, Node.js, Java, C#, Go)A team player with strong communication skills, but also capable of working independentlyAdvantages: Experience in building distributed and scalable systemsExperience with writing automated testsA little more about Axonius: We are a remote-first culture. We have offices in New York and in Tel Aviv, but the majority of our employees are working from home across the US and Internationally. Our people aren't just great professionals, they are great people. We are all here to support each other, ready to help and do what's best for the entire company. Focus on Career growth. We love seeing our people grow into new roles and work hard to ensure everyone sees and can realize a long term career path here at Axonius. At Axonius we support a diverse and inclusive workplace and believe in equal employment opportunity. We welcome people of different backgrounds, experiences, abilities and perspectives, regardless of race, color, ancestry, religion, age, sex, gender identity, national origin, sexual orientation, citizenship, marital status, disability, or Veteran status.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2jpkogkm"", ""https://tinyurl.com/2jpkogkm"")"
9,17 hours ago ,Microsoft ,Full Stack Software Engineer - Microsoft 365 Defender," Tel Aviv-Yafo, Tel Aviv District, Israel","Would you like be part of an exciting and impactful product?Make our world a better and safer place and defend millions?Use cutting-edge technologies at huge scale?Microsoft 365 Defender is an innovative, industry leading integrated solution for the Microsoft 365 threat protection services that breaks down traditional security solutions silos to deliver detection and response across all data sources.Using AI and automation to integrate Microsoft’s industry-leading products for protecting users, endpoints, cloud apps, and data, we merge signals from numerous security solutions such as Microsoft Defender for Endpoint Microsoft Defender for Identity, Microsoft Defender for Email, Microsoft Defender for Identity, and Microsoft Defender for Cloud Apps and apply deep correlation logic to provide holistic prevention, detection, investigation, and response capabilities for all assets protected by Microsoft and empower defenders to move from reacting to employing their unique expertise to keep bad actors out.We use state of the art cloud technologies and big data solutions at hyper scale and modern UX platform to deliver the highest value for our customers.ResponsibilitiesAs a Software Engineer in M365D, you will be working on cutting edge technologies to deliver exciting new features that impacts millions of users. You will lead features with cross team collaboration. As a Full Stack engineer, you will contribute both to the Front end and Back end of our products and have end-to-end responsibility over your deliverables.performance of products while also driving consistency in monitoring and operations at scale.Qualifications B.Sc./M.Sc. In Computer Science (or equivalent) You have 5+ years of software development experience. You have strong experience in modern JavaScript frameworks such as Angular or React Experience in .NET/C# (or equivalent) Great people skills, leadership and collaborationPreferred Qualifications Experience in public cloud and Big Data technologies Experience in the Cyber security domain#ILDC-MPS#MSFTSECURITYMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2nt36bdt"", ""https://tinyurl.com/2nt36bdt"")"
